,charaka,book_name
2329,13-Oct,
2330," Now, the summing up verse- In the chapter on ten seats of vital breath etc. the gist of the contents of the  slokasthana, two types of physicians and the seats of vital breath are said. ",
2331,14,
2332, Thus ends the twenty-ninth chapter on ten seats of vital breath etc. in  Slokasthana in the treatise composed by Agnivesa and  redacted by Caraka. (29) • ____________________________ CHAPTER XXX ____________________________ Now (I) shall expound the chapter on ten great vessels of heart etc. ,
2333,1,
2334,  As propounded by Lord Atreya. ,
2335,2,
2336, ,
2337,page_no:237 ,
2338,0,
2339," In the heart attached are ten vessels rooted there and of great significance. The  words 'mahat', 'artha' and hrdaya’  are synonymous. The body with six divisions, intel- lect, sense organs, five sense objects, self together with qualities, mind alongwith its  objects are located in heart. ",
2340,4-Mar,
2341, The heart specialists regard the heart as the substratum of these entities like the  central girder of the small beams in a house. One gets murcchha (fainting) on its  injury and death on its severe painful condition. ,
2342,5,
2343, Life known by the sense perception (reflexes) is located there. It is also the seat  of the excellent ojas and reservoir of consciousness. That is why the heart has been  said as ’mahat' (great) and 'artha' (serving all purposes) by the physicians. ,
2344,7-Jun,
2345," From the heart as root, ten great vessels carrying ojas pulsate all over the  body. ",
2346,8,
2347," The ojas, which maintains the living beings by its saturation; without which no  life of creatures exists, which is the initial essence of embryo and also the essence of  its nourishing material, which enters into the cardiac cycle first, which destroyed leads  to destruction, which is the sustainer and located in heart, which is the cream of the  nutrient fluid in the body, and where vital factors are established, is the fruit of them  or they produce various types of fruits (effects). Hence they (vessels) are called as  'mahaphala' (having important fruit or great variety of fruits). ",
2348,11-Sep,
2349," Dhamanis (arteries) are (called so) due to pulsation, srotas (channels) due to  flowing and siras (veins) due to moving swiftly. ",
2350,12,
2351," One who wants to protect the heart, the great vessels and the ojas, should  avoid particularly the causes of the affliction of mind. Over and above, he should ",
2352,page_no:238 ,
2353,0,
2354, regularly take the measures which are conducive to heart and ojas and cleansing of  srotas and also make efforts for serenity of mind and knowledge. ,
2355,13-14,
2356," One is the best among each of these factors-life-promoting, strength-promoting,  bulk-promoting, happiness-promoting and the paths. In the living beings, non-violence is the best among the life-promoting factors,  prowess is the best among the strength-promoting ones, learning is the best among  the bulk-promoting ones, control on sense organs is the best among the happiness-  promoting ones, knowledge of reality is the best among the pleasure-promoting ones  and celibacy is the best among the paths-Thus hold the Ayurvedists. ",
2357,15,
2358," Those should be regarded as the knowers of Ayurveda who are able to deliver  Tantra (treatise), Sthana (section), Adhyaya (chapter) and PraSna (topics) distinctly  by the way of textual statement, textual interpretation and recapitulation. On this some- body said-How could treatise etc. be delivered by way of textual statement, textual  Here it is said-the treatise of sages recited entirely and according to tradition is  said to be stated textually. ",
2359,17,
2360," When one penetrates well through intellect into the real purport and explains it  with sentences having expansion, brevity, proposition, reasoning, examples, correla- tion and conclusion and which is comprehensible to all the three types of disciples  (brilliant, average and dull), it is said as having delivered by way of textual interpre- tation. ",
2361,18,
2362," When the difficult points contained in the treatise are discussed and recapitu- lated, it is said to have been delivered by way of recapitulation. ",
2363,19,
2364, ,
2365,page_no:239 ,
2366,0,
2367," Some may ask-out of the four vedas-Rk, Sama, Yajus and Atharva, which one  The physician, thus interrogated, should mention his devotion to Atharvaveda  out of the four Vedas-Rk, Sama, Yajus and Atharva, because the Veda of Atharvan  has dealt with the medicine by way of prescribing donation, propitiatory rites, offer- ings auspicious, rites, oblations, observance rules, expiations, fasting, incantations  etc. and medicine is for promotion of life. ",
2368,21,
2369," After having mentioned about the Veda, one should explain the 'Ayus'. 'Ayus,  is explaining by means of three synonyms-'Cetananuvrtti' (continuance of cons- ciousness), 'jlvita' (animation), anubandha (continuous flow), dhari (sustaining the  body). ",
2370,22,
2371," reply is by defining Ayus and prescribing its types happy-unhappy and beneficial  non-beneficial, its measure and non-measure. It is also 'Ayurveda' because it imparts  knowledge about the substances (including drugs) alongwith their properties and ac- tions as to their conduciveness or otherwise to life. Substances alongwith their prop- erties and actions in respect of their conduciveness or otherwise to life will be dealt  with in the entire treatise. ",
2372,23,
2373, Ayus has been said by its definitions here itself and also in the first chapter.  Life is said as happy if the person is not afflicted with any somatic or ,
2374,page_no:240 ,
2375,0,
2376," psychic disorder, is particularly youthful, capable with strengh, energy, reputation  manliness and prowess, possessing knowledge, specific knowledge and strong sense  organs and sense objects; having immense wealth and various favourable enjoyments,  has achieved desired results of all actions and moves about where he likes, contrary  to it is unhappy life. Life is said as beneficial if the person is well-wisher of all the creatures, abstains  from taking other's possession, is truth-speaking, calm, taking steps after-examining  the situation, free from carelessness, observing the three categories (virtue, wealth  and enjoyment) without their mutual conflict, worshipping the worthy persons, is de- voted to knowledge, understanding and serenity of mind, keeping company of the  elderly persons, has controlled well the impulses of attachment, aversion, envy, in- toxication and conciet, is engaged in various types of gifts, constantly devoted to  penance, knowledge and peace, has knowledge of and devotion to metaphysics, keep- ing eye to both the worlds and is endowed with memory and intelligence. Contrary to  it is non-beneficial life. ",
2377,24,
2378,"   ; The measure of life is known by the adventitious pathological symptoms in  relation to objects, sense organs, mind, intellect, movement etc. such as one will die  after a moment, hour or day; three, five, seven, ten or twelve days, a fortnight, month,  six months or a year. 'Swabhava' (becoming own self). 'Pravrttyuparama (cessation  of activities), 'marana' (death), 'anityata' (non-eternality), nirodha (annihilation)-all  are synonymous. This is the measure of life. Contrary to this is non-measure which is  described in the context of aristas (sudden appearance of fatal signs). In Ayurveda,  the measure of life has also been described according to the body constitution. ",
2379,25,
2380, The object (of Ayurveda) is to protect health of the healthy and to alleviate  disorders in the diseased. ,
2381,26,
2382, ,
2383,page_no:241 ,
2384,0,
2385," Ayurveda is said as eternally continuing because of its beginingless-ness,  the characters of entities having been determined by universal nature and the charac- ters of substances being eternal. There was never non-existence of the flow of life  or intellect. The knower of Ayurveda is also eternally continuing. Pleasure (health)  and pain (disease) alongwith material factors, causes and symptoms, because of  their inter-relations, are also eternal. All these point towards the eternal continuity  of Ayurveda. (Secondly), substances having properties of heavy, light, cold, hot,  unctuous, rough etc. are subjected to increase or decrease by the law of similarity  and dissimilarity. As is said, in case of regular intake of heavy substances, the  heavy will increase and the light will decrease. Thus in case of other substances  as well. This character of entities is eternal. (Thirdly), the characters of the subs- tances like earth etc. are also eternal. The substances alongwith their properties  are eternal. Ayurveda never arose out of non-existence except understanding and  precepts; some say its origin in view of these two. Its natural characters are  non-artificial as said here and in the first chapter such as hotness of fire and liquidity  of water. It has also got the eternal continuity of natural characters of entities such as  increase in heavy substances, decrease in light substances by regular intake of the  heavy ones. ",
2386,27,
2387," Ayurveda has eight divisions such as-Kayacikitsa (medicine), salakya (dea- ling with diseases of supra-clavicular region), Salyapahartrka (dealing with extrac- tion of foreign bodies), Visa-gara-vairodhika-prasamana (dealing with alleviation  of poisons, artificial poisons and toxic symptoms due to intake of antagonistic  substances), Bhuta vidya (dealing with spirits or organisms), Kaumarabhrtya  (Pediatrics), Rasayana (dealing with promotive measures) and Vajlkarana (dealing  with aphrodisiacs). ",
2388,28,
2389, 36C.S.-I ,
2390,page_no:242 ,
2391,0,
2392," That (Ayurveda) should be studied by Brahmanas, Ksatriyas and Vaisyas.  Brahmanas should study it for welfare of living beings, Ksatriyas for their protec- tion and Vaisyas as profession or generally by all for the achievement of virtue,  wealth and enjoyment. That he makes efforts in alleviation of disorders of spiritual  scholars, those treading on virtuous path or preachers of virtue or his parents, family  members, kinfolk and teachers and that he thinks over, teaches and practises the  basic truths said in Ayurveda is his excellent virtue. That he receives remuneration  and protection from the king or wealthy persons in lieu of providing health to them  and that he protects the patients from illness treated under him is his artha (wealth  and fruition of purpose). That he is honoured by the learned men, gets reputation  and saviourness, respect and service and that he provides health to the liked persons,  is his kama (enjoyment). Thus the topics have been dealt with completely according  to questions. ",
2393,29,
2394," One physician, at the very start, should ask the other physician about eight top-  ics-treatise, scope of the treatise, section, scope of the section, chapter, scope of the  chapter, topics, scope of the topics. The other physician should reply dealing entirely  with the subject by means of text, interpretation and recapitulation. ",
2395,30,
2396," Ayurveda has its synonyms as Sakha, Vidya, Sutra, Jnana, Sastra, Laksana and  Tantra. ",
2397,31,
2398," The scope of the treatise has been said in its definitions-that, considered ac- cording to contexts, is again divided into ten-body (anatomy), its functions  (physiology), causes (etiology), disease (pathology), operations (therapeutics),  objective to be achieved (health), time (environmets and stages of disease), doer  (physician), instrument (therapeutic measures) and method (procedure of treatment  including preparations). These contexts will be considered in the entire text. ",
2399,32,
2400, ,
2401,page_no:243 ,
2402,0,
2403," There are eight Sthanas (sections) in the treatise such as Sloka (Sutra), Nidana,  Vimana, SarTra, Indriya, Cikitsita, Kalpa and Siddhi. Sloka sthana has thirty adhyayas  (chapters), nidana, vimana and sarlra sthanas each having eight chapters, indiryasthana  has twelve chapters, cikitsitasthana has thirty chapters, kalpa and siddhi sthanas each  having twelve chapters. ",
2404,33,
2405," Thus is said- The treatise has been completed in Sloka, Cikitsita, Indriya, Kalpa, Siddhi, Nidana,  Vimana and Sarlra sthanas. Out of them the first two with thirty chapters each, the  latter three with twelve chapters each and the last three with eight chapters each. ",
2406,34,
2407, The scope of the sections will be said in the respective sections. Now hear the  one hundred twenty chapters with their titles and order. ,
2408,35,
2409," The quadruplet on drugs consists of the chapters on longevity, apamarga  seeds, aragvadha and six locations of evacuation. That on the healthy consists of  quantity of diet, his diet, non-supression of urges and introductory description of  sense organs. That on precepts consists of lesser quadruped, greater quadruped,  three desires and merits and demerits of vata. In the quadruplet on preparation, there  are chapters on unction, fomentation, arrangement of equipments and well-equipped  physician. In the quadruplet on diseases, there are chapters on the number of cranial  diseases, three swellings, eight abdominal diseases and major disorders. The quadru- plet on planning consists of the chapters on the eight despicables, reducing and  saturating therapies and properly formed blood. The quadruplet on drugs consists  of the chapters on the origin of person, Atreya-Bhadrkapya (discussion among the  sages), food and drinks and various types of food and drinks, The two last chapters- ",
2410,page_no:244 ,
2411,0,
2412, one on ten vital organs and the other on ten heart-rooted vessels-are devoted to vital  force and body and also qualities of a physician. ,
2413,36-43,
2414," Six quadruplets on drugs, the healthy, precepts, preparations, diseases and  planning, the seventh on concerning food and drinks alongwith two concluding  chapters in the end constitute the thirty-chaptured, meaningful slokasthana which is  regarded as the auspicious head of the treatise. In this section, the quadruplets having  deep significance have been compiled together. This section is called as slokasthana  because of its praise-worthy position and compilatory character. ",
2415,44-46,
2416," In Nidanasthana (section on pathology and diagnosis) there are eight chapters  one each on fever, innnate haemorrhage, gulma, prameha, leprosy, phthisis insanity  and epilepsy. ",
2417,47,
2418," In Vimanasthana (section on specific measures) eight chapters one each on rasa  three portions of belly, epidemics, three means of diagnosis of diseases, srotas (chan- nels), classification of diseases, types of patients and treatment of diseases have been  dealt with by the sage for the purpose of determining measures. ",
2419,48-49,
2420," Type of person, dissimilar clan, appearance of foetus (lesser and greater chap- ters), analysis of person, analysis of body, enumeration of body parts, delivery and  management of child-these eight chapters have been dealt with by the sage, the son  of Atri, in the sarirasthana (section on anatomy). ",
2421,50-52,
2422," Indriyasthana (section on fatal signs and symptoms) contains twelve chapters,  such as, relating to complexion and voice, flowering, palpatory, sense organs,  prodroma, characters of diseases, distorted images, inverted images, discoloration,  imminent death, minute spot and cowdung-powder. ",
2423,53-55,
2424, ,
2425,page_no: ,
2426,0,
2427," SUTRASTHANA 245 In Cikitsitasthana (section on therapeutics), there are thirty chapters. Out of these  first two chapters relate to rasayana (promotive measures) and vajlkarana (aphrodisi- acs) respectively and have four quarters each. The chapter on Rasayana consists of a  quadruplet of haritaki-amalaki, desire for vital breath, amalakl plucked with hand and  traditional importance of rasayan. The chapter on vajlkarana consists of the following  quadruplets-root of sara, (rice) soaked in milk, (cow) fed on leaves of black gram and  the person having gained strength. The other twenty eight chapters relate to fever,  internal haemorrhage, gulma, prameha, kustha phthisis, insanity, epilepsy, (chest)  wound, swelling, abdominal diseases, piles, graham roga, anaemia, dyspnoea, cough,  diarrhoea, vomiting, erysipelas, thirst, poison, alcoholism, wounds, diseases of three  vital organs, urustambha (stiffness of thighs), vatavyadhi, vatarakta, yonivyapat (dis- orders of female genital organs). ",
2428,56-60,
2429," Now I shall tell about the pharmaceuticals which are described under kalpasthana  (section on pharmaceuticals) in twelve chapters such as-(madana) phala, jTmuta,  iksvaku, dhamargava, vatsaka, krtavedhana, syama-trivrt, aragvadha, tilvaka, snuhl,  saptala-samkhinl and dantl-dravantl. ",
2430,61-64,
2431," In siddhisthana (section on successful management) there are twelve chapters  such as-management of evacuative measures, persons suitable and unsuitable for unc- tuous enema, management of the complications arisen due to improper application  of enema, management of the complications of emesis and purgation, management  of the complications of enema, various types of enematic formulations, management  of the diseases of three vital organs, application of enema, enema prepared with  madanaphala, urethral and vaginal douches. Thus the treatise is completed. ",
2432,65-67,
2433, ,
2434,page_no:246 ,
2435,0,
2436, The scope of the chapter will be said in the respective chapters under different  sections-thus one should be able to tell about the scope of the respective subjects  from the entire treatise. ,
2437,68,
2438," Interrogation is the question on any subject from the treatise according to the  accepted procedure. Interpretation of the interrogation is the rational solution of the  same on the basis of the treatise. The word 'Tantra' is derived from 'tantrana' (pervasi- veness and protection), 'Sthana' from 'arthapratistha' (containing the subject well)  and the titles of the adhyayas (chapters) are based on various topics. Thus according  to query, the entire 'Astaka' (eight topics) has been explained. In this way, the well-  defined subject-matter of the text has also been said in entirety. ",
2439,69-71,
2440," There are persons having partial and superficial informations whose unexpected  flying up creates irritation like that of male bustard. Hence, in the beginning of the  talk, one should always put the eight topics with a view to testing the superiority or  inferiority because there only the well-versed in scriptures can stand while those  knowing a portion of it feel giddy by the very word of the entire treatise like the  week bustards by the sound of bow-string. ",
2441,72-74,
2442," ' Some animal in the midst of the weak ones behaves like a wolf but finding a  real wolf it reverts to its natural position. Likewise, a fool on the basis of his  talkativeness, establishes his authority among the fools but is exposed in face of  the real authority. Like large brown mongoose hidden in its_own wollen bristles,  what the fool having no wide knowledge can speak in disussions as a clumsy,  ",
2443,page_no:247 ,
2444,0,
2445," though having little knowledge but should subdue the otherwise posing themselves  as authority at the very start with the eight questions. The fools often are arrogant  and talkative speaking too much and irrelevantly while the gentlemen are aften  good-looking and talking less and relevantly. One, dispassionately, should not  tolerate the little-knowing but talkative and quarrel-some persons in order to bring to  light the importance of real knowledge. Those who are compassionate to creatures  and are sincerely devoted to real knowledge pay attention to checking the ignoble  debates. ",
2446,75-80,
2447," Those who are not authority in their own treatise often condemn orthers taking  resort to ignoble views, lack of time, illness, arrogance and harshness. One should  keep away from these scripture-defiles who simulate the noose of death and should  be devoted to the good physicians who are full of calmness, knowledge and under- standing. ",
2448,81-83,
2449," Entire misery relating to both (mind and body) depend on ignorance, the entire  happiness resides in pure knowledge. This treatise with wide scope is not illuminat- ing to the ignorant ones as the sun to the blind. ",
2450,84-85,
2451," Now, the summing up verses- Ten great vessels attached to heart, the significance of the name, the  six best among the paths (of life), the character of the knower of veda, the  seven and eight questions alongwith the solutions, six types of those having partial  knowlege-all this has been explained in the chapter on ten hear-rooted vessels.  In fact, this chapter contains the gist of the entire treatise. As the thread servestlchlfvW H , I  1 1  £ £ 1 1 ",
2452,page_no:248 ,
2453,0,
2454," the purpose of keeping the flowers together, this (sutrasthana) has been composed  by the sage for the collection of (various) topics. ",
2455,86-89,
2456, Thus ends the chapter thirty on the ten heart-rooted great vessels  in Slokasthana in the treatise composed by Agnivesa  and redacted by Caraka. (30) With this limit ends the entire Slokasthana in the treatise composed by  Agnivesa and redacted by Caraka. (90) ,
2457,page_no: ,
2458,0,
2459, 2. NIDANASTHANA (SECTION OF DIAGNOSIS) 37 C. S. - 1 ,
2460,page_no: ,
2461,0,
2462, Now (I) shall expound the chapter on diagnosis of fever. ,
2463,1,
2464, As propounded by Lord Atreya. ,
2465,2,
2466," Here hetu, nimitta, ayatana, kartta, karana, pratyaya and samutthana-these are  synonyms of nidan. It is of three types-unsuitable conjunction of sense organs with  their objects, intellectual error and consequence. ",
2467,3,
2468," From these, three trpes of (som atic) diseases arise-agneya (paittika),  saumya (kaphaja) and (vatika). The others (psychic) are of two types-rajasa and  tamasa. ",
2469,4,
2470," Here vyadhi, amaya, gada, atanka, yaksma, jwara and vikara-these are synonyms  of roga. ",
2471,5,
2472," Knowledge of disease (is acquired) through nidana (etiology), purvarupa  (prodroma), liiiga (signs and symptoms), upasaya (therapeutic suitability) and  samprapti (pathogenesis). ",
2473,6,
2474," Nidana is the etiological factor, as already said. ",
2475,7,
2476,  Purvarupa consists of the (unmanifested) symptoms which precede the appear- ance of the disease. ,
2477,8,
2478, ,
2479,page_no:252 ,
2480,0,
2481," Linga consists of the manifested signs and symptoms of the disease. Akrti,  laksana, cihna, samsthana, vyanjana and rupa-these are synonyms of linga. ",
2482,9,
2483," Upasaya is the suitable use of drug, diet and behaviour which are contrary to the  etiology and (or) disease or which produce effects contrary to them. ",
2484,10,
2485," Samprapti, jati and agati (of disease) are synonyms. ",
2486,11,
2487," That (samprapti) is further subdivided according to sankhya (number), padhanya  (predominance), vidhi (types), vikalpa (proportional variation) and balakala (aggra- vation time). (1) Number-such as eight fevers, five gulmas, seven leprosies etc (2) Predominance of dosas is known by their relative degrees, Comparative degree is  indicated by (the suffix) ’ tara' and the superlative one by 'tama'. (3) Type such as two types of diseases-innate and exogenous; three types according  to tridosa; four types (according to prognosis) such as curable, incurable, mild and  severe. (4) Proportional variation in the strength of conjoined dosas in vikalpa in the present  context. (5) The time of aggravation of diseases is ascertained on the basis of season, day and  night, time and method of intake of food. ",
2488,12,
2489, Hence the physician with unaffected mind and intellect should know the diseases  properly on the basis of factors such as etiology etc. ,
2490,13,
2491, ,
2492,page_no:253 ,
2493,0,
2494, Thus the subject matter of the nidanasthana has been mentioned in brief. The  same will be dealt with in details further. ,
2495,14,
2496," First of all, (I) will describe, in the order beginning with etiology, the earliest  eight diseases arisen from greed, malice and anger, alongwith are principles of  therapeutics in brief. Later on in the section on therapeutics (I) will describe the later  developed disorders. ",
2497,15,
2498," Amongst the diseases, fever is described first because of its being the earliest  (in appearance) of the somatic diseases. ",
2499,16,
2500," In human beings, fever arises from the eight causative factors-such as vata,  pitta, kapha, vata-pitta, vata-kapha, pitta-kapha, vata-pitta-kapha and the eighth as  exogenous. ",
2501,17,
2502," Further (I) will describe the etiology, prodroma, symptoms and therapeutic suit- ability of fever. ",
2503,18,
2504," Vayu gets vitiated by over-use of rough, light, cold (substances), excessive ad- ministration of emesis, purgation, non-unctuous enema and head exacuation, physical  exercise, suppression of natural urges, fasting, injury, sexual intercourse, excitement,  anxiety, excessive blood-letting, vigils and uneven postures of body. ",
2505,19,
2506," When this vitiated (vata) enters into amasaya and being mixed up with heat,  accompanying the initial dhatu produced by digestion of food and known as  ’ Rasa1 , blocking the channels carrying rasa and sweda (sweat) and affecting the agni  takes out the heat from the seat of digestion and spreads it all over the body, it  produces fever. ",
2507,20,
2508, ,
2509,page_no:254 ,
2510,0,
2511," It gives rise to these symptoms such as-irregular onset and remission, irregular  temperature, unstable mildness and severity of fever, emergence or aggravation of  fever at the end of digestion (of food), day, night and the summer, particular rough- ness and reddishness in nails, eyes, face, urine, stool and skin and also excessive  tearing of nails etc. various types of localised or shifting pains in different organs  such as-numbness in feet, cramps in calf, laxity in knee joint or all the joints, lassi- tude in thighs, breaking, aching, pressing, churning, cracking, extracting and con- stricting pains in waist, sides, back, shoulder, arms, scapular region and chest re- spectively, loss of function in jaws, tinitus, piercing pain in temples, astringent taste  or loss of taste in mouth, dryness of mouth, palate and throat, thirst, cardiac pain,  dry vomiting, dry cough, checking of sneezing and eructation, aversion to food and  tastes, salivation, anorexia, indigestion, malaise, yawning, bending, trembling,  exhaustion, giddiness, delirium, insomnia, horripilation, sensation in teeth; liking  for hot (things), unsuitability of the factors mentioned under etiology and suitability  of the contrary-these are the symptoms of vata jwara. (fever caused by vata). ",
2512,21,
2513,"By excessive use of hot, sour, saline, alkaline, pungent food and taking meals  during indigestion, exposure to the intense sun and fire, exhaustion, anger, irregular  meals, pitta gets vitiated. ",
2514,22,
2515," front wnrfaft- This vitiated pitta when getting into the contact with heat in amasaya, accompa- nying the initial dhatu formed by digestion of food and known as rasa, blocking  the channels carrying rasa and sweda, impairs agni due to liquidity and taking out  the heat from the seat of digestion and spreads it all over the body with pain, it  produces fever. ",
2516,23,
2517, ,
2518,page_no:255 ,
2519,0,
2520," It gives rise to these symptoms such as-onset or aggravation of fever  simultaneosly in the whole body particularly during the mid-digestion of food, midday,  midnight or the autumn (season); pungency in mouth, inflammation of nose, mouth,  throat, lips and palate, thirst narcosis, giddiness, fainting, vomiting of bile, diarrhoea,  dislike for food, malaise, sorrow, delirium, appearance of red patches in the body,  greenishness or yellowishness in nails, eyes, mouth, urine, stool and skin;  hyperpyrexia, intense burning sensation, liking for cold, unsuitability of the contary  ones-these are the symptoms of pittajwara (fever caused by pitta). ",
2521,24,
2522," By excessive use of unctuous, heavy, sweet, slimy, cold, sour, saline (substance)  day-sleep, exhilaration and lack of physical exercise, kapha gets vitiated. ",
2523,25,
2524," When that vitiated (kapha) entering into amasaya, getting mixed up with heat,  accompanying the initial dhatu produced by digestion of food and known as rasa,  blocking the channels carrying rasa and sweda, impairing agni and taking out the heat  from the seat of digestion spreads it all over the body, it produces fever. ",
2525,26,
2526," It gives rise to these symptoms such as-emergence or aggravation of fever in  the whole body simultaneously particularly immediately after meals, forenoon, early  night or the spring season, heaviness in body, aversion to food, excessive salivation,  sweetness in mouth, nausea, plastering of heart, cold sensation, vomiting, mildness  of appetite, excessive sleep, stiffness, drowsiness, cough, dyspnoea, coryza, cold,  whiteness in nails, eyes, face, urine, stool and skin, excessive appearance of ",
2527,page_no:256 ,
2528,0,
2529," urticarial patches in the body, liking for heat, unsuitability of the etiological factors  and suitability of the contrary ones-these are the symptoms of slesma jwara (fever  caused by kapha). ",
2530,27,
2531,"   By irregular meals, fasting, change in usual food, seasonal disturbances, unsuit- able smell, use of poisonous water, poisonous substances, contact with the moun- tains, improper administration of unction, sweating, emesis, purgation, non-unctuous  and unctuous enema and head evacuation, improper after-evacuative dietitic regimen,  in women, abnormal delivery and improper post-partum management, mixing up of  etiological factors mentioned earlier, two or three dosas together get vitiated accord- ing to the etiology. Thus they produce fever accordingly. ",
2532,28,
2533," By observing the said symptoms of fever (caused by single dosas) getting mixed  up, one should know one of the dual fevers or the sannipatika one. ",
2534,29,
2535," The exogenous one is the eighth type of fever initiated with pain and caused by  injury, evil organisms, spell and curse. It remains as such for a while and later on gets  associated with dosas. Amongst them, that caused by injury (is associated) with vayu  located in affected blood; that caused by evil organisms with vata and pitta and those  by spell and curse with sannipata. ",
2536,30,
2537," It should be taken as one distinguished from other seven types of fever  because of having specific symptoms, treatment and etiology. It is, however  treated with general therapeutic measures. Thus eightfold genesis of fever is  said. ",
2538,31,
2539, ,
2540,page_no:257 ,
2541,0,
2542," Fever is only one having pyrexia as specific symptom. The same is said as of  two types according to liking (liking for cold and that for heat) and also to character  of innate and exogenous. The innate fever is again of two types (caused by combined  or uncombined dosas), three types (caused by three single dosas, four types (caused  by three single dosas and sannipata), and seven types (caused by three single dosas,  three duals and one sannipata) due to proportional variations of (dosas) vata etc. ",
2543,32,
2544," It gives rise to these prodromal symptoms-such as loss of taste in mouth, heavi- ness in body parts, aversion to food, congestion in eyes, lachrymation, oversleep,  uneasiness, yawning, bending, trembling, exhaustion, giddiness, delirium, vigils,  horripilation, sensation in teeth, (unstable) tolerance and intolerance to sound, cold,  wind and the sun, anorexia, indigestion, debility, body-ache, malaise diminished  vitality, lethargy, lassitude, deminution in normal activities, aversion to own activities,  intolerance to the words of elders, dislike for children, unmindfulness to own duties,  feeling difficulty in use of garlands, paste and food, dislike for sweet edibles and  liking for sour, saline and pungent things-these are the prodromal symptoms which  appear before the rise of temperature and also continue in the stage of pyrexia. ",
2545,33,
2546, Thus are described the symptoms of fever individually in detail and brief. ,
2547,34,
2548," Fever is originated by the anger of Maheswara, it takes away the life of  all living beings, causes disturbance in body, sense organs and mind, dimin- ishes intellect, strength, complexion, pleasure and enthusiasm. Produces tired- ness, exhaustion, confusion and difficulty in intake of food; it is called  as jwara because it brings about unhappiness in the person; no other disease 38 C. S. - 1 ",
2549,page_no:258 ,
2550,0,
2551," is so severe, complicated and difficult in management as this. It is the king of all  diseases and is known by different terms in various animals. All living beings are  born with fever and die with it, it is the great bewilderment, oppressed by it the  living beings do not recollect any event of their previous birth, fever itself takes  away the life of the living beings in the end. ",
2552,35,
2553," I  I On appearance of prodromal symptoms or in the beginning of fever light food or  saturation is advised because fever origintes from amasaya. Afterwards intake of ex- tracts, massage, unction, fomentation, pasting, sprinkling, afterpaste, emesis, purga- tion, non-unctuous and unctuous enema, pacificatory measures, snuffing, fumigation,  smoking, collyrium, milk and dietitic regimen are administered properly according to  condition. ",
2554,36,
2555," However, in all types of jTrna jwara (chronic fever) intake of ghee cooked with  proper drugs is recommended because ghee pacifies vata due to unctuousness, kapha  due to processing, pitta and heat due to coldness, hence in all chronic fevers ghee is  wholesome like water on substances scorched by fire. ",
2556,37,
2557," Here are (the verses)- As they sprinkle water on a burning house to subdue (the fire), ghee is adminis- tered in chronic fever. Ghee pacifies vata due to unctuousness, pitta due to cold and  even kapha which is similar in properties due to processing (with drugs), No other fat  receives the (properties of) Samskara (processing with drugs) as ghee and that is why  it is regarded as the best of all the fats. ",
2558,38-40,
2559, The idea expressed in prose is again said afterwards in verses. This is so for  (further) clarification and as such the repetition is not despised. ,
2560,41,
2561, ,
2562,page_no:259 ,
2563,0,
2564," Now (the summing up) verses- Threefold etiology alongwith synonyms, fivefold diseases, symptoms and  synonyms of disease, fivefold knowledge of disaeses, eightfold fever, its distant  and immediate causes, prodroma, symptomatology and management in brief-all  this has been said in the first chapter or diagnosis of fever by Lord Punarvasu to  bowed Agnivesa. ",
2565,42-44,
2566, Thus ends the first chapter on diagnosis of fever in Nidanasthana in the  treatise composed by Agnivesa and redacted by Caraka. (1) Now (I) shall expound the chapter on diagnosis of innate haemorrhage. ,
2567,1,
2568, As propounded by Lord Atreya. ,
2569,2,
2570, (I) will further explain how pitta acquires the nomenclature of ’ lohita pitta' (in- ternal haemorrhage). ,
2571,3,
2572, CHAPTER II ,
2573,page_no:260 ,
2574,0,
2575," When the person takes diet mostly consisting of grains such as yavaka, uddalaka  and koradusa; and also other food items excessively hot and sharp added with legume  of nispava, black gram, horse gram and alkali; or with curd, curdwater, buttermilk,  sour buttermilk or sour gruel; meat of pig, buffalow, sheep, fish and cow, vegetables  of oil cake, pindalu (a tuber) and dried potherbs; upadamsa (chutney or salad) of rad- ish, mustard, garlic, karanja, Sigru, madhusigru, kharabusa, bhustrna, sumukha, surasa,  kutheraka, gandlra, kalamalaka, parnasa, ksavaka and phanijjaka, after-drink of sura  (wine), sauvlra, tusodaka (types of vinegar), maireya, medaka, madhulaka (fermented  beverages), sukta (sour beverage), sour preparations of kuvala and badara (types of  jujube), takes preparations of (rice) flour in excess after meals; or excessively heated  (in the sun or fire) takes unboiled milk in excessive quantity or frequently; eats rohinl  (vegetable) alongwith milk, or kanakapota (a type of pigeon) cooked with mustard oil  and alkali, or excessively exposed to heat takes milk alongwith sour beverages cooked  with horse gram, oil cake, fruits of jambu and lakuca, with such types of regimen his  pitta gets vitiated and blood exceeds its normal measure. With blood exceeding its  (normal) measure the vitiated pitta, while circulating in the body, reaches the open- ings of blood-carrying channels originating from liver and spleen, obstructs them which  are already heavy due to congestion of blood and thus affects the blood morbidly. ",
2576,4,
2577,"I Pitta is called lohitapitta because it contacts with blood, affects it and acquires  its smell and colour. ",
2578,5,
